codigo_dane,municipio,subregion,periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,fuente,estimado
05480,Mutatá,Centro,2004-2006,2004,2006,Sin Información,1231.8,615.9,shapefile,False
05490,Necoclí,Caribe,2004-2006,2004,2006,Bosque Estable,20228.91,10114.46,shapefile,False
05490,Necoclí,Caribe,2004-2006,2004,2006,Deforestación,504.34,252.17,shapefile,False
05490,Necoclí,Caribe,2004-2006,2004,2006,No Bosque Estable,104246.12,52123.06,shapefile,False
05490,Necoclí,Caribe,2004-2006,2004,2006,Regeneración,18.68,9.34,shapefile,False
05490,Necoclí,Caribe,2004-2006,2004,2006,Sin Información,13.41,6.7,shapefile,False
05543,Peque,Nutibara,2004-2006,2004,2006,Bosque Estable,14205.31,7102.66,shapefile,False
05543,Peque,Nutibara,2004-2006,2004,2006,Deforestación,9.66,4.83,shapefile,False
05543,Peque,Nutibara,2004-2006,2004,2006,No Bosque Estable,29137.18,14568.59,shapefile,False
05543,Peque,Nutibara,2004-2006,2004,2006,Sin Información,4.01,2.0,shapefile,False
05659,San Juan de Urabá,Caribe,2004-2006,2004,2006,Bosque Estable,231.66,115.83,shapefile,False
05659,San Juan de Urabá,Caribe,2004-2006,2004,2006,Deforestación,7.98,3.99,shapefile,False
05659,San Juan de Urabá,Caribe,2004-2006,2004,2006,No Bosque Estable,24842.81,12421.4,shapefile,False
05665,San Pedro de Urabá,Caribe,2004-2006,2004,2006,Bosque Estable,1479.7,739.85,shapefile,False
05665,San Pedro de Urabá,Caribe,2004-2006,2004,2006,Deforestación,26.41,13.2,shapefile,False
05665,San Pedro de Urabá,Caribe,2004-2006,2004,2006,No Bosque Estable,54999.06,27499.53,shapefile,False
05665,San Pedro de Urabá,Caribe,2004-2006,2004,2006,Regeneración,8.96,4.48,shapefile,False
05665,San Pedro de Urabá,Caribe,2004-2006,2004,2006,Sin Información,1.79,0.9,shapefile,False
05837,Turbo,Centro,2004-2006,2004,2006,Bosque Estable,71695.41,35847.7,shapefile,False
05837,Turbo,Centro,2004-2006,2004,2006,Deforestación,807.8,403.9,shapefile,False
05837,Turbo,Centro,2004-2006,2004,2006,No Bosque Estable,215977.5,107988.75,shapefile,False
05837,Turbo,Centro,2004-2006,2004,2006,Regeneración,2.68,1.34,shapefile,False
05837,Turbo,Centro,2004-2006,2004,2006,Sin Información,164.35,82.18,shapefile,False
05842,Uramita,Nutibara,2004-2006,2004,2006,Bosque Estable,4592.13,2296.06,shapefile,False
05842,Uramita,Nutibara,2004-2006,2004,2006,Deforestación,6.27,3.14,shapefile,False
