idcu,cuenca,periodo,ano_inicio,ano_fin,clase,hectareas,hectareas_anuales,n_poligonos,fuente,area_confiable,flag_calidad
3,San Juan,2000-2002,2000,2002,Sin Información,11.79,5.89,4,xlsx:columna_area,True,columna_validada_ok
3,San Juan,2002-2004,2002,2004,Bosque Estable,2482.65,1241.33,279,shp:geometria,True,geometria_metrica
3,San Juan,2002-2004,2002,2004,Deforestación,19.75,9.88,14,shp:geometria,True,geometria_metrica
3,San Juan,2002-2004,2002,2004,No Bosque Estable,133563.44,66781.72,103,shp:geometria,True,geometria_metrica
3,San Juan,2004-2006,2004,2006,Bosque Estable,2332.69,1166.35,247,shp:geometria,True,geometria_metrica
3,San Juan,2004-2006,2004,2006,Deforestación,144.95,72.47,46,shp:geometria,True,geometria_metrica
3,San Juan,2004-2006,2004,2006,No Bosque Estable,133566.2,66783.1,106,shp:geometria,True,geometria_metrica
3,San Juan,2004-2006,2004,2006,Regeneración,20.22,10.11,3,shp:geometria,True,geometria_metrica
3,San Juan,2004-2006,2004,2006,Sin Información,1.79,0.9,2,shp:geometria,True,geometria_metrica
3,San Juan,2006-2008,2006,2008,Bosque Estable,2243.22,1121.61,289,xlsx:columna_area,True,columna_validada_ok
3,San Juan,2006-2008,2006,2008,Deforestación,89.37,44.69,24,xlsx:columna_area,True,columna_validada_ok
3,San Juan,2006-2008,2006,2008,No Bosque Estable,133713.42,66856.71,122,xlsx:columna_area,True,columna_validada_ok
3,San Juan,2008-2010,2008,2010,Bosque Estable,2190.92,1095.46,266,shp:geometria,True,geometria_metrica
3,San Juan,2008-2010,2008,2010,Deforestación,44.66,22.33,10,shp:geometria,True,geometria_metrica
3,San Juan,2008-2010,2008,2010,No Bosque Estable,133828.45,66914.23,108,shp:geometria,True,geometria_metrica
3,San Juan,2008-2010,2008,2010,Sin Información,1.72,0.86,2,shp:geometria,True,geometria_metrica
3,San Juan,2015-2016,2015,2016,Bosque Estable,1895.69,1895.69,188,shp:geometria,True,geometria_metrica
3,San Juan,2015-2016,2015,2016,Deforestación,6.74,6.74,5,shp:geometria,True,geometria_metrica
3,San Juan,2015-2016,2015,2016,No Bosque Estable,134151.1,134151.1,59,shp:geometria,True,geometria_metrica
3,San Juan,2015-2016,2015,2016,Sin Información,12.72,12.72,6,shp:geometria,True,geometria_metrica
3,San Juan,2016-2017,2016,2017,Bosque Estable,1908.24,1908.24,187,shp:geometria,True,geometria_metrica
3,San Juan,2016-2017,2016,2017,Deforestación,15.73,15.73,2,shp:geometria,True,geometria_metrica
3,San Juan,2016-2017,2016,2017,No Bosque Estable,134070.4,134070.4,64,shp:geometria,True,geometria_metrica
3,San Juan,2016-2017,2016,2017,Regeneración,57.93,57.93,4,shp:geometria,True,geometria_metrica
3,San Juan,2016-2017,2016,2017,Sin Información,13.86,13.86,7,shp:geometria,True,geometria_metrica
3,San Juan,2017-2018,2017,2018,Bosque Estable,1908.24,1908.24,187,shp:geometria,True,geometria_metrica
3,San Juan,2017-2018,2017,2018,Deforestación,15.73,15.73,2,shp:geometria,True,geometria_metrica
3,San Juan,2017-2018,2017,2018,No Bosque Estable,134070.4,134070.4,64,shp:geometria,True,geometria_metrica
3,San Juan,2017-2018,2017,2018,Regeneración,57.93,57.93,4,shp:geometria,True,geometria_metrica
3,San Juan,2017-2018,2017,2018,Sin Información,13.86,13.86,7,shp:geometria,True,geometria_metrica
3,San Juan,2019-2020,2019,2020,Bosque Estable,4231.1,4231.1,856,shp:geometria,True,geometria_metrica
3,San Juan,2019-2020,2019,2020,Deforestación,28.36,28.36,14,shp:geometria,True,geometria_metrica
3,San Juan,2019-2020,2019,2020,No Bosque Estable,131711.63,131711.63,127,shp:geometria,True,geometria_metrica
3,San Juan,2019-2020,2019,2020,Sin Información,93.7,93.7,34,shp:geometria,True,geometria_metrica
3,San Juan,2020-2021,2020,2021,Bosque Estable,4199.57,4199.57,852,shp:geometria,True,geometria_metrica
3,San Juan,2020-2021,2020,2021,Deforestación,46.86,46.86,17,shp:geometria,True,geometria_metrica
3,San Juan,2020-2021,2020,2021,Regeneración,131818.88,131818.88,128,shp:geometria,True,geometria_metrica
3,San Juan,2021-2022,2021,2022,Bosque Estable,15072.75,15072.75,857,xlsx:columna_area,False,columna_area_preclip_no_confiable
3,San Juan,2021-2022,2021,2022,Deforestación,24.32,24.32,14,xlsx:columna_area,False,columna_area_preclip_no_confiable
3,San Juan,2021-2022,2021,2022,No Bosque Estable,482999.8,482999.8,118,xlsx:columna_area,False,columna_area_preclip_no_confiable
3,San Juan,2022-2023,2022,2023,Bosque Estable,3874.23,3874.23,944,shp:geometria,True,geometria_metrica
3,San Juan,2022-2023,2022,2023,Deforestación,80.83,80.83,12,shp:geometria,True,geometria_metrica
3,San Juan,2022-2023,2022,2023,No Bosque Estable,132153.15,132153.15,177,shp:geometria,True,geometria_metrica
3,San Juan,2023-2024,2023,2024,Bosque Estable,,,946,dbf:conteo,False,solo_conteo_sin_area
3,San Juan,2023-2024,2023,2024,Deforestación,,,5,dbf:conteo,False,solo_conteo_sin_area
3,San Juan,2023-2024,2023,2024,Regeneración,,,169,dbf:conteo,False,solo_conteo_sin_area
2,Sucio Alto,2000-2002,2000,2002,Bosque Estable,90563.76,45281.88,2950,xlsx:columna_area,True,columna_validada_ok
2,Sucio Alto,2000-2002,2000,2002,Deforestación,136.77,68.39,145,xlsx:columna_area,True,columna_validada_ok
2,Sucio Alto,2000-2002,2000,2002,No Bosque Estable,126499.89,63249.94,1979,xlsx:columna_area,True,columna_validada_ok
2,Sucio Alto,2000-2002,2000,2002,Sin Información,9.42,4.71,5,xlsx:columna_area,True,columna_validada_ok
2,Sucio Alto,2002-2004,2002,2004,Bosque Estable,90253.97,45126.99,2980,shp:geometria,True,geometria_metrica
2,Sucio Alto,2002-2004,2002,2004,Deforestación,232.75,116.38,229,shp:geometria,True,geometria_metrica
2,Sucio Alto,2002-2004,2002,2004,No Bosque Estable,126770.61,63385.31,2000,shp:geometria,True,geometria_metrica
