periodo,ano_inicio,ano_fin,consejo,clase,hectareas,hectareas_anuales,poligonos,fuente,calidad_fuente
2014-2015,2014,2015,Consejo Comunitario Por La Identidad Cultural,Deforestación,,,10,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,,,182,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario Por La Identidad Cultural,Sin Información,,,10,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,,,307,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,,,463,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario de Bocas De Atrato y Leoncito,Sin Información,,,1,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario de Los Mangos,Bosque Estable,,,5,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario de Los Mangos,Deforestación,,,2,excel,solo_conteo
2014-2015,2014,2015,Consejo Comunitario de Los Mangos,No Bosque Estable,,,3,excel,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,,,1,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Manatíes,Bosque Estable,,,27,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Manatíes,Deforestación,,,9,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Manatíes,No Bosque Estable,,,52,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,,,1459,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,,,40,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,,,2089,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Mayor del Medio Atrato - ACIA,Sin Información,,,1995,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,,,124,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Por El Desarrollo Integral,Deforestación,,,11,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,,,183,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Por El Desarrollo Integral,Sin Información,,,90,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,,,77,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Por La Identidad Cultural,Deforestación,,,18,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Por La Identidad Cultural,No Bosque Estable,,,155,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario Por La Identidad Cultural,Sin Información,,,67,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario de Bocas De Atrato y Leoncito,Bosque Estable,,,267,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario de Bocas De Atrato y Leoncito,Deforestación,,,65,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario de Bocas De Atrato y Leoncito,No Bosque Estable,,,457,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario de Bocas De Atrato y Leoncito,Sin Información,,,10,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario de Los Mangos,Bosque Estable,,,1,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario de Los Mangos,Deforestación,,,1,dbf,solo_conteo
2015-2016,2015,2016,Consejo Comunitario de Los Mangos,No Bosque Estable,,,1,dbf,solo_conteo
2016-2017,2016,2017,Consejo Comunitario Afrodescendientes Etnia Negra de la Serranía de Abibe Rios León y Sucio - COCOSARLES,No Bosque Estable,50.44,50.44,1,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Manatíes,Bosque Estable,3779.73,3779.73,32,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Manatíes,Deforestación,32.91,32.91,22,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Manatíes,No Bosque Estable,584.63,584.63,42,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Mayor del Medio Atrato - ACIA,Bosque Estable,120673.37,120673.37,1479,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Mayor del Medio Atrato - ACIA,Deforestación,199.55,199.55,168,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Mayor del Medio Atrato - ACIA,No Bosque Estable,35584.73,35584.73,2060,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Mayor del Medio Atrato - ACIA,Sin Información,18321.07,18321.07,2017,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Por El Desarrollo Integral,Bosque Estable,6197.74,6197.74,127,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Por El Desarrollo Integral,Deforestación,35.12,35.12,32,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Por El Desarrollo Integral,No Bosque Estable,3537.28,3537.28,177,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Por El Desarrollo Integral,Sin Información,245.18,245.18,88,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Por La Identidad Cultural,Bosque Estable,10363.95,10363.95,78,shapefile,geometria
2016-2017,2016,2017,Consejo Comunitario Por La Identidad Cultural,Deforestación,35.98,35.98,33,shapefile,geometria
