periodo,ano_inicio,ano_fin,municipio,codigo_dane,subregion,n_parches,ha_total,tamano_medio_ha,tamano_mediano_ha,tamano_max_ha,pct_parches_grandes,fuente_calidad
2022-2023,2022,2023,Murindó,05475,Atrato,23,46.55,2.024,1.47,8.62,0.0,shapefile_ok
2022-2023,2022,2023,Apartadó,05045,Centro,23,42.45,1.846,1.57,4.12,0.0,shapefile_ok
2022-2023,2022,2023,Necoclí,05490,Caribe,13,29.54,2.272,2.36,5.39,0.0,shapefile_ok
2022-2023,2022,2023,Vigía del Fuerte,05873,Atrato,12,21.11,1.759,1.52,3.9,0.0,shapefile_ok
2022-2023,2022,2023,Chigorodó,05172,Centro,7,11.6,1.657,1.19,4.56,0.0,shapefile_ok
2022-2023,2022,2023,San Pedro de Urabá,05665,Caribe,5,11.55,2.31,1.73,4.46,0.0,shapefile_ok
2022-2023,2022,2023,Cañasgordas,05138,Nutibara,7,9.96,1.423,1.3,1.77,0.0,shapefile_ok
2022-2023,2022,2023,San Juan de Urabá,05659,Caribe,1,8.52,8.52,8.52,8.52,0.0,shapefile_ok
2022-2023,2022,2023,Abriaquí,05004,Nutibara,2,4.9,2.45,2.45,2.93,0.0,shapefile_ok
2022-2023,2022,2023,Uramita,05842,Nutibara,2,4.27,2.135,2.135,3.08,0.0,shapefile_ok
2022-2023,2022,2023,Peque,05543,Nutibara,1,3.24,3.24,3.24,3.24,0.0,shapefile_ok
